Frame,Chain,MgID,ListResids,ListResnames,ListAtoms
1716,PP1,323,5,POPE, O14
1717,PP1,310,60,POPE, O13
1717,PP1,323,5,POPE, O14
1718,PP1,310,60,POPE, O13
1718,PP1,323,5,POPE, O14
1719,PP1,310,60,POPE, O13
1719,PP1,323,5,POPE, O14
1720,PP1,310,60,POPE, O13
1720,PP1,323,5,POPE, O14
1721,PP1,310,60,POPE, O13
1721,PP1,323,5,POPE, O14
1722,PP1,310,60,POPE, O13
1722,PP1,323,5,POPE, O14
1723,PP1,310,60,POPE, O13
1723,PP1,323,5,POPE, O14
1724,PP1,310,60,POPE, O13
1724,PP1,323,5,POPE, O14
1725,PP1,310,60,POPE, O13
1725,PP1,323,5,POPE, O14
1726,PP1,310,60,POPE, O13
1726,PP1,323,5,POPE, O14
1727,PP1,310,60,POPE, O13
1727,PP1,323,5,POPE, O14
1728,PP1,310,60,POPE, O13
1728,PP1,323,5,POPE, O14
1729,PP1,310,60,POPE, O13
1729,PP1,323,5,POPE, O14
1730,PP1,310,60,POPE, O13
1730,PP1,323,5,POPE, O14
1731,PP1,310,60,POPE, O13
1731,PP1,323,5,POPE, O14
1732,PP1,310,60,POPE, O13
1732,PP1,323,5,POPE, O14
1733,PP1,310,60,POPE, O13
1733,PP1,323,5,POPE, O14
1734,PP1,310,60,POPE, O13
1734,PP1,323,5,POPE, O14
1735,PP1,310,60,POPE, O13
1735,PP1,323,5,POPE, O14
1736,PP1,310,60,POPE, O13
1736,PP1,323,5,POPE, O14
1737,PP1,310,60,POPE, O13
1737,PP1,323,5,POPE, O14
1738,PP1,310,60,POPE, O13
1738,PP1,323,5,POPE, O14
1739,PP1,310,60,POPE, O13
1739,PP1,323,5,POPE, O14
1740,PP1,310,60,POPE, O13
1740,PP1,323,5,POPE, O14
1741,PP1,310,60,POPE, O13
1741,PP1,323,5,POPE, O14
1742,PP1,310,60,POPE, O13
1742,PP1,323,5,POPE, O14
1743,PP1,310,60,POPE, O13
1743,PP1,323,5,POPE, O14
1744,PP1,310,60,POPE, O13
1744,PP1,323,5,POPE, O14
1745,PP1,310,60,POPE, O13
1745,PP1,323,5,POPE, O14
1746,PP1,310,60,POPE, O13 P
1746,PP1,323,5,POPE, O14
1747,PP1,310,60,POPE, O13
1747,PP1,323,5,POPE, O14
1748,PP1,310,60,POPE, O13
1748,PP1,323,5,POPE, O14
