Frame,Chain,MgID,WaterID,ListResids,ListResnames,ListAtoms
90,PP1,323,5539,5,POPE, O14
90,PP1,323,5586,5,POPE, O13 O14
91,PP1,310,3739,74,POPE, O11 O12 O14 P
91,PP1,310,4054,59 60,POPE, O13 O14 P
91,PP1,310,4452,59 60 74,POPE, O11 O13 O14 P
91,PP1,323,5514,,, 
91,PP1,323,5539,5,POPE, O14
91,PP1,323,5586,5,POPE, O14
92,PP1,310,3739,,, 
92,PP1,310,4054,60,POPE, O13 O14 P
92,PP1,310,4452,60 74,POPE, O11 O12 O13 O14 P
92,PP1,323,5514,,, 
92,PP1,323,5539,5,POPE, O14
92,PP1,323,5586,5,POPE, O13 O14 P
93,PP1,310,3739,,, 
93,PP1,310,4054,60,POPE, O13
93,PP1,310,4452,60 74,POPE, O12 O13 O14 P
93,PP1,323,5514,,, 
93,PP1,323,5539,5,POPE, O14
93,PP1,323,5586,5,POPE, O13 O14
94,PP1,310,3739,74,POPE, O14 P
94,PP1,310,4054,59 60,POPE, O12 O13 O14 P
94,PP1,310,4452,60 74,POPE, O11 O13 O14 P
94,PP1,323,5514,,, 
94,PP1,323,5539,5,POPE, O14
94,PP1,323,5586,5,POPE, O14
95,PP1,310,3739,,, 
95,PP1,310,4054,60,POPE, O13
95,PP1,310,4452,60 74,POPE, O12 O13 O14 P
95,PP1,323,5514,,, 
95,PP1,323,5539,5,POPE, HN3 O14
95,PP1,323,5586,5,POPE, O14
96,PP1,310,3739,53 59,POPE, HN2 O13 O14 P
96,PP1,310,4054,60,POPE, O13
96,PP1,310,4452,59 60,POPE, O13 O14
96,PP1,323,5514,,, 
96,PP1,323,5539,5,POPE, O14
96,PP1,323,5586,5,POPE, O13 O14 P
97,PP1,310,3739,59 74,POPE, HN2 HN3 O14
97,PP1,310,4054,59 60,POPE, O13 O14
97,PP1,310,4452,60,POPE, O13
97,PP1,323,5514,,, 
97,PP1,323,5539,5,POPE, O14
97,PP1,323,5586,5,POPE, O14
98,PP1,310,3739,59 74,POPE, HN3 O13
98,PP1,310,4054,53 60,POPE, O13 O14
98,PP1,310,4452,60 74,POPE, O13 O14 P
98,PP1,323,5514,,, 
98,PP1,323,5539,5,POPE, HN2 O12 O14
98,PP1,323,5586,5,POPE, O14
99,PP1,310,3739,74,POPE, O14
99,PP1,310,4054,60,POPE, O13
99,PP1,310,4452,60 74,POPE, O11 O13 O14 P
99,PP1,323,5514,,, 
99,PP1,323,5539,5,POPE, HN1 O14
99,PP1,323,5586,5,POPE, O14
100,PP1,310,3739,53 74,POPE, HN2 HN3
100,PP1,310,4054,60,POPE, O13
100,PP1,310,4452,53 60 74,POPE, HN2 HN3 O12 O13 O14 P
100,PP1,323,5514,,, 
100,PP1,323,5539,5,POPE, O14
100,PP1,323,5586,5,POPE, O14
101,PP1,310,3739,74,POPE, HN2
101,PP1,310,4054,60,POPE, O13
101,PP1,310,4452,53 60 74,POPE, HN3 O13 O14 P
101,PP1,323,5514,,, 
101,PP1,323,5539,5,POPE, HN3 O12 O14
101,PP1,323,5586,5,POPE, O14
102,PP1,310,3739,74,POPE, O12 O14 P
102,PP1,310,4054,60,POPE, O13
102,PP1,310,4452,60 74,POPE, O11 O12 O13
102,PP1,323,5514,,, 
102,PP1,323,5539,5,POPE, HN1 O12 O14
102,PP1,323,5586,5,POPE, O14
103,PP1,310,3739,74,POPE, O12 O13 P
103,PP1,310,4054,60,POPE, O13 O14
103,PP1,310,4452,60 74,POPE, O11 O12 O13 O14 P
103,PP1,323,5514,,, 
103,PP1,323,5539,5,POPE, O12 O14
103,PP1,323,5586,5,POPE, O14
104,PP1,310,3739,,, 
104,PP1,310,4054,60,POPE, O13
104,PP1,310,4452,60 74,POPE, O12 O13 O14 P
104,PP1,323,5514,,, 
104,PP1,323,5539,5,POPE, HN1 O12 O14
104,PP1,323,5586,5,POPE, O14
105,PP1,310,3739,,, 
105,PP1,310,4054,60,POPE, O13
105,PP1,310,4452,60 74,POPE, O11 O12 O13 O14 P
105,PP1,323,5514,,, 
105,PP1,323,5539,5,POPE, HN1 O12 O14
